domain,Tickets link (en),Website (en),Links (en),Instagram (en),Facebook (en),X (en),Spotify URL (en),total_url_mentions,sample_url,sample_event,sample_ingestion_provider
ticketmaster.evyy.net,37144,10367,0,0,0,0,0,47511,http://ticketmaster.evyy.net/c/253158/264167/4272?u=https%3a%2f%2fticketmaster.evyy.net%2fc%2f258147%2f271177%2f4272%3fu%3dhttps%253A%252F%252Fwww.ticketmaster.com%252Fevent%252FZ7r9jZ1A7r6f8%26utm_medium%3daffiliate,Kenny Wayne Shepherd,CitySpark
bandsintown.com,10494,17504,0,0,0,0,0,27998,https://www.bandsintown.com/t/107594596?app_id=pkvts0on0m&came_from=287&direct=true,Patrick Lamb,CitySpark
open.spotify.com,0,98,0,0,0,0,17564,17662,https://open.spotify.com/artist/1bwsprbGyKx2vBbPAwVebl,Noche de Banda,CitySpark
facebook.com,49,17013,0,0,0,0,0,17062,https://www.facebook.com/groups/451924138259850,Wednesday Night Open Mic,CitySpark
eventbrite.com,6313,4041,0,0,0,0,0,10354,https://www.eventbrite.com/e/rumba-sundays-party-at-h-lounge-in-vallejo-every-sunday-tickets-1974535764625,"Rumba Sundays Party at H Lounge in Vallejo, Every Sunday!",CitySpark
eventim.de,5614,0,0,0,0,0,0,5614,https://www.eventim.de/noapp/event/21466957/?affiliate=JAB&utm_medium=dp&utm_campaign=jambase&utm_source=jambase,Virgil Donati at Club Zentral,Jambase
link.dice.fm,5588,7,0,0,0,0,0,5595,https://link.dice.fm/M2/SANTELISES,Intriga presents Simon Vuarambon @M2 Miami,CitySpark
axs.com,4703,3,0,0,0,0,0,4706,https://www.axs.com/events/1212334/benjamin-tod-and-the-inline-six-2026-tour-tickets?cid=afffboea,the Inline Six 2026 Tour with Leon Majcen,CitySpark
prod-nts-api.seeticketsusa.us,3126,0,0,0,0,0,0,3126,https://prod-nts-api.seeticketsusa.us/v1.0.0/promote/b8052a76-c920-45f5-b91b-111dfe56a6b3/clickthru,Amelia Day,CitySpark
etix.prf.hn,2185,0,0,0,0,0,0,2185,https://etix.prf.hn/click/camref:1101lGKCg/destination:https://www.etix.com/ticket/p/90960458/charley-crockett-goshen-elkhart-county-4h-fairgrounds,Charley Crockett at the Elkhart County 4-H Fair,CitySpark
tixr.com,1922,53,0,0,0,0,0,1975,https://www.tixr.com/groups/greenriverfestival/events/green-river-festival-2026-146792,2026 Green River Festival,CitySpark
eventvesta.com,901,827,0,0,0,0,0,1728,https://eventvesta.com/events/127421/t/tickets,Resound Presents: Tigers Jaw w/ Pool Kids at Mohawk on 6/3,CitySpark
etix.com,1118,70,0,0,0,0,0,1188,https://www.etix.com/ticket/p/82646444/fridayaug-292025-rodeo-ellensburg-ellensburg-rodeo-arena?country=US&language=en,Rockin' The Chutes with Clay Walker & KC Johns,CitySpark
awin1.com,1099,0,0,0,0,0,0,1099,https://www.awin1.com/pclick.php?p=43436121567&a=139685&m=7816,SOFIA ISELLA at O2 Institute Birmingham,Jambase
app.opendate.io,966,20,0,0,0,0,0,986,https://app.opendate.io/e/the-timber-bridges-w-uncle-march-01-2026-668872,The Timber Bridges w/ Uncle,CitySpark
events.outhousetickets.com,427,346,0,0,0,0,0,773,https://events.outhousetickets.com/e/furnas-county-fair-concert-2026?aff=cityspark,"Logan Mize, Ned LeDoux, Dylan Bloom | Furnas County Fair 2026",CitySpark
jambase.com,0,742,0,0,0,0,0,742,https://www.jambase.com/show/air-supply-thomas-wolfe-auditorium-20260709,Air Supply at Thomas Wolfe Auditorium,Jambase
eventbrite.ca,306,295,0,0,0,0,0,601,https://www.eventbrite.ca/e/crumbl-cookie-country-night-saturday-150-free-crumble-cookies-tickets-1981349026274,Crumbl Cookie Country Night Saturday-150+ Free Crumble Cookies,CitySpark
universe.com,576,1,0,0,0,0,0,577,https://www.universe.com/events/collect-a-con-new-jersey-2-tickets-CK5907,Collect-A-Con New Jersey 2026,CitySpark
ticketnetwork.lusg.net,29,532,0,0,0,0,0,561,https://ticketnetwork.lusg.net/c/258147/132208/2322?prodsku=7260920&u=https%3A%2F%2Fwww.ticketnetwork.com%2Fen%2Fp%2F7260920&intsrc=CATF_896,The Prefontaine Classic,CitySpark
tickets.taogroup.com,288,176,0,0,0,0,0,464,https://tickets.taogroup.com/e/hakkasan-nightclub-las-vegas-9-2-2026?aff=cityspark,R&Bae Wednesdays w/ DJ Franzen,CitySpark
tockify.com,2,427,0,0,0,0,0,429,https://tockify.com/1885taproom/detail/173/1792621800000,MUSIC BINGO AT 1885 TAPROOM EVERY WEDNESDAY NIGHT AT 6:30PM,CitySpark
skiddle.com,358,0,0,0,0,0,0,358,https://www.skiddle.com/whats-on/united-states/Middle-East-Club/The-Tartan-Specials-plus-special-guests/42376305/?utm_source=jambase,The Tartan Specials at The Middle East,Jambase
tickets.venuepilot.com,328,6,0,0,0,0,0,334,https://tickets.venuepilot.com/e/christian-royce-ton-johnson-2026-07-16-cactus-club-milwaukee-635265,Christian Royce • Ton Johnson,CitySpark
ticketmaster.com,295,28,0,0,0,0,0,323,https://www.ticketmaster.com/chris-stapletons-allamerican-road-show-george-washington-07-24-2026/event/0F006391D73D8066,Chris Stapleton's All-American Road Show,CitySpark
ticketweb.com,281,40,0,0,0,0,0,321,http://Ticketweb.com/,"KRS-ONE live in RENO, NV!!",CitySpark
scfta.org,264,36,0,0,0,0,0,300,https://www.scfta.org/events/2026/south-side-symphony-anime-juke-jam,South Side Symphony: Anime Juke Jam,CitySpark
biletix.com,290,0,0,0,0,0,0,290,https://www.biletix.com/performance/5OSM8/001/TURKIYE/tr?utm_source=jambase,Wegh at Mawish Beach & Disco,Jambase
speakeasygo.com,244,0,0,0,0,0,0,244,https://speakeasygo.com/LIV%20Nightclub%20-%20Las%20Vegas/Matroda?eid=EVE-QYM0SH&utm_source=jambase,Matroda at LIV Las Vegas,Jambase
dice.fm,213,24,0,0,0,0,0,237,https://dice.fm/event/bbx2bo-solya-30th-jun-shrine-social-club-boise-tickets?dice_source=ee15ecdb&eventref=fb_oea,Solya + Tele Novella,CitySpark
portsmouthnhtickets.com,104,103,0,0,0,0,0,207,https://www.portsmouthnhtickets.com/e/love-letters?aff=cityspark,Love Letters,CitySpark
events.eventnoire.com,96,94,0,0,0,0,0,190,https://events.eventnoire.com/e/sneaker-gala-celebration-of-black-excellence-in-2/tickets?aff=cityspark,10th Anniversary Sneaker Gala | Celebration of Black Excellence in Mental Health,CitySpark
24tix.com,8,164,0,0,0,0,0,172,https://www.24tix.com/events/3k2u5jxlcjbb5ospgvrbcm42q4,Tigers Jaw,CitySpark
visitgenevaonthelake.com,0,169,0,0,0,0,0,169,https://visitgenevaonthelake.com/event/triple-threat/,Triple Threat,CitySpark
ci.ovationtix.com,140,28,0,0,0,0,0,168,https://ci.ovationtix.com/36626,June Cabaret: THE BEST OF BROADWAY,CitySpark
ticketmaster.no,162,0,0,0,0,0,0,162,https://www.ticketmaster.no/artist/sommerbris-billetter/952801,Sommerbris,Jambase
my805tix.com,84,77,0,0,0,0,0,161,https://www.my805tix.com/e/dancy-party-5/tickets?aff=cityspark,Dance Party,CitySpark
