provider_key,in_previous_zip,ticket_link_mentions,website_mentions,links_mentions,all_url_mentions,sample_domain_or_url
ticketmaster,True,37915,10395,0,48310,http://ticketmaster.evyy.net/c/253158/264167/4272?u=https%3a%2f%2fticketmaster.evyy.net%2fc%2f258147%2f271177%2f4272%3fu%3dhttps%253A%252F%252Fwww.ticketmaster.com%252Fevent%252FZ7r9jZ1A7r6f8%26utm_medium%3daffiliate
unknown_or_venue_specific,False,11936,25735,0,37671,https://theshopsatheavenly.com/event/live-music-gunbarrel-tavern/2027-03-02/
bandsintown,True,10494,17504,0,27998,https://www.bandsintown.com/t/107594596?app_id=pkvts0on0m&came_from=287&direct=true
spotify,False,0,98,0,17662,https://open.spotify.com/artist/1bwsprbGyKx2vBbPAwVebl
facebook,False,53,17017,0,17070,https://www.facebook.com/groups/451924138259850
eventbrite,True,6653,4361,0,11014,https://www.eventbrite.com/e/rumba-sundays-party-at-h-lounge-in-vallejo-every-sunday-tickets-1974535764625
dice,True,5801,31,0,5832,https://dice.fm/event/bbx2bo-solya-30th-jun-shrine-social-club-boise-tickets?dice_source=ee15ecdb&eventref=fb_oea
eventim,True,5713,22,0,5735,https://wl.eventim.us/event/North-Coast-Music-Festival-2026/674105?afflky=NorthCoastMusicFestival
axs,True,4703,3,0,4706,https://www.axs.com/events/1212334/benjamin-tod-and-the-inline-six-2026-tour-tickets?cid=afffboea
etix,True,3321,70,0,3391,https://www.etix.com/ticket/p/82646444/fridayaug-292025-rodeo-ellensburg-ellensburg-rodeo-arena?country=US&language=en
see-tickets,True,3157,1,0,3158,https://wl.seetickets.us/HopMonkNovato
tixr,True,1922,53,0,1975,https://www.tixr.com/groups/greenriverfestival/events/green-river-festival-2026-146792
eventvesta,False,901,827,0,1728,https://eventvesta.com/events/127421/t/tickets
awin-affiliate,False,1099,0,0,1099,https://www.awin1.com/pclick.php?p=43436121567&a=139685&m=7816
opendate,False,966,20,0,986,https://app.opendate.io/e/the-timber-bridges-w-uncle-march-01-2026-668872
outhouse-tickets,False,429,346,0,775,https://events.outhousetickets.com/e/furnas-county-fair-concert-2026?aff=cityspark
universe,False,576,1,0,577,https://www.universe.com/events/collect-a-con-new-jersey-2-tickets-CK5907
ticketnetwork,False,29,532,0,561,https://ticketnetwork.lusg.net/c/258147/132208/2322?prodsku=7260920&u=https%3A%2F%2Fwww.ticketnetwork.com%2Fen%2Fp%2F7260920&intsrc=CATF_896
tao-group,False,382,176,0,558,https://tickets.taogroup.com/e/hakkasan-nightclub-las-vegas-9-2-2026?aff=cityspark
skiddle,False,358,0,0,358,https://www.skiddle.com/whats-on/united-states/Middle-East-Club/The-Tartan-Specials-plus-special-guests/42376305/?utm_source=jambase
venuepilot,False,329,6,0,335,https://tickets.venuepilot.com/e/christian-royce-ton-johnson-2026-07-16-cactus-club-milwaukee-635265
ticketweb,True,281,40,0,321,http://Ticketweb.com/
